user_id,book_id,rating,review
U008,B008,3.2,"Not my cup of tea, but others might love it."
U008,B011,1.3,The plot was a bit slow but overall enjoyable.
U010,B016,1.8,An indie masterpiece with a fresh perspective.
U008,B010,3.9,An indie masterpiece with a fresh perspective.
U007,B002,5.0,A refreshing narrative with a unique voice.
U008,B012,4.2,"Too predictable, lacked depth."
U002,B003,4.8,A hidden gem that captivated me.
U008,B010,2.5,"Not my cup of tea, but others might love it."
U005,B018,3.0,A hidden gem that captivated me.
U001,B009,3.2,"Not my cup of tea, but others might love it."
U001,B012,3.0,A refreshing narrative with a unique voice.
U010,B014,4.0,"A promising start, but fell short in execution."
U005,B003,4.6,A refreshing narrative with a unique voice.
U003,B001,2.1,Exceptional character development and storyline.
U009,B013,4.3,Exceptional character development and storyline.
U010,B005,2.1,A refreshing narrative with a unique voice.
U005,B007,3.2,A hidden gem that captivated me.
